Crop,Model,R²,MSE,RMSE,MAE
Cashewnut,Gradient Boosting,0.5376939173399544,0.0614615962025609,0.2479144937323368,0.1534577221525973
Cashewnut,XGBoost,0.4858828951973906,0.0683496477363968,0.2614376555441025,0.1669715800196675
Cashewnut,CatBoost,0.5764893994356459,0.0563039044816789,0.2372844379256233,0.151193404186795
Cashewnut,SVM,0.6724391702895134,0.0435477970170814,0.2086810892656099,0.1303835111240597
Cashewnut,MLP,0.7431519835737902,0.0341468340199728,0.1847886198335084,0.1297322085852378
Banana,Random Forest,0.8215202214774275,59.94558278153996,7.742453279261036,4.466995522905655
Banana,Gradient Boosting,0.8379102008205221,54.44071902816551,7.378395423678885,4.20309553389267
Banana,XGBoost,0.8404100719495968,53.60109320079384,7.321276746633324,4.28650172080196
Banana,CatBoost,0.8874900809017916,37.78844149671014,6.147230392356394,4.100285724245716
Banana,SVM,0.8992763116671739,33.82982793344196,5.816341456056544,3.70563807033946
Banana,MLP,0.9369980972130836,21.16030068039326,4.600032682535338,3.1897632504259934
Sesamum,Random Forest,0.7935195722050279,0.0094292986735987,0.0971045759663196,0.0690506612656176
Sesamum,Gradient Boosting,0.8108341064667057,0.0086385994451482,0.0929440662180658,0.0662621333857618
Sesamum,XGBoost,0.7837351981095989,0.0098761196467305,0.0993786679661714,0.0715275915721471
Sesamum,CatBoost,0.8046428353645314,0.0089213349325504,0.0944528185527059,0.0696055651258446
Sesamum,SVM,0.7893131240833959,0.0096213936635086,0.098088703037142,0.0709241244269695
Sesamum,MLP,0.8263482860454855,0.0079301166388774,0.089051202343806,0.0643917626855684
Soyabean,Random Forest,0.547112095008831,0.0620187437618925,0.2490356274951288,0.183558975521333
Soyabean,Gradient Boosting,0.5323799079210441,0.0640361783764635,0.2530537065060765,0.1838812096823014
Soyabean,XGBoost,0.5517686936382229,0.0613810663277736,0.2477520258802613,0.1805111442292185
Soyabean,CatBoost,0.5632734927706009,0.0598055921727796,0.2445518189929889,0.1816944716344289
Soyabean,SVM,0.5971431057944869,0.0551674668700431,0.2348775571868099,0.1721921951798889
Soyabean,MLP,0.5044590734545771,0.0678596743438107,0.2604988950913433,0.1933460041155056
Masoor,Random Forest,0.5629156703130109,0.0208757032533482,0.1444842664560686,0.1019341001145293
Masoor,Gradient Boosting,0.5528599456673806,0.0213559774463166,0.1461368449307588,0.1066527382855084
Masoor,XGBoost,0.5439328757870886,0.021782345652828,0.147588433330082,0.1028188510233239
Masoor,CatBoost,0.580639077502397,0.0200292107941268,0.1415245943082927,0.1012971767729965
Masoor,SVM,0.5064159887978257,0.0235741998708416,0.1535389197266986,0.1042290878963314
Masoor,MLP,0.3286011828193643,0.0320668610612264,0.1790722230308944,0.1329865254705981
Moong(Green Gram),Random Forest,0.6914088103162952,0.0186579104010556,0.1365939618030594,0.0965601969154722
Moong(Green Gram),Gradient Boosting,0.6902605355377094,0.0187273369065777,0.1368478604384363,0.0942585618859749
Moong(Green Gram),XGBoost,0.6843260061492458,0.0190861479203201,0.1381526254557623,0.0963877624127928
Moong(Green Gram),CatBoost,0.7187212908945961,0.0170065547159409,0.1304091818697629,0.0915043681367259
Moong(Green Gram),SVM,0.6963728649072221,0.0183577758253459,0.1354908698966317,0.0974871502196586
Moong(Green Gram),MLP,0.7373153876430862,0.01588232627806,0.1260251017776224,0.0899556360852748
Other Kharif pulses,Random Forest,0.7136953823160874,0.0291744400946664,0.1708052695166821,0.1251604788696909
Other Kharif pulses,Gradient Boosting,0.683679427317371,0.0322330658621384,0.179535695231167,0.1273790852165643
Other Kharif pulses,XGBoost,0.6735048576736522,0.0332698544929366,0.1824002590265064,0.1290756216995842
